Time,Lap_Number,Engine_RPM,Engine_Torque_Nm,Speed_MS,Lat_Accel_G,Long_Accel_G,Pitch_Rad,Roll_Rad,CG_Height_m,Load_FL_N,Load_FR_N,Load_RL_N,Load_RR_N
6.053,1,0,0.0,0.0,0.011,0.15,0.9769,0.0211,0.0,2,0,0,100
6.084,1,0,0.0,0.01,0.048,0.149,0.9769,0.021,0.0,2,0,0,100
6.115,1,0,0.0,0.0,0.023,0.113,0.9769,0.0206,0.0,2,0,0,100
6.147,1,0,0.0,0.0,0.032,-0.124,0.9769,0.0202,0.0,-2,0,0,100
6.178,1,0,0.0,0.0,-0.002,-0.158,0.9769,0.0202,0.0,-2,0,0,100
6.209,1,0,0.0,0.0,0.079,-0.153,0.9769,0.0193,0.0,-2,0,0,100
6.24,1,0,0.0,0.0,-0.057,0.164,0.9769,0.0206,0.0,2,0,0,100
6.271,1,0,0.0,0.0,0.026,0.133,0.9769,0.0212,0.0,2,0,0,100
6.301,1,0,0.0,0.01,0.046,0.136,0.9769,0.0204,0.0,2,0,0,100
6.332,1,0,0.0,0.01,-0.034,0.132,0.9769,0.0205,0.0,2,0,0,100
6.348,1,0,0.0,0.01,-0.128,0.149,0.9769,0.0201,0.0,2,0,0,100
6.365,1,0,0.0,0.01,0.042,-0.134,0.9769,0.0189,0.0,-2,0,0,100
6.395,1,0,0.0,0.0,-0.126,-0.127,0.9769,0.0177,0.0,-2,0,0,100
6.425,1,0,0.0,0.01,0.111,0.149,0.9769,0.0189,0.0,2,0,0,100
6.457,1,0,0.0,0.01,0.144,0.117,0.9769,0.0203,0.0,2,0,0,100
6.473,1,0,0.0,0.0,-0.147,0.165,0.9769,0.0174,0.0,2,0,0,100
6.49,1,0,0.0,0.01,0.16,-0.164,0.9769,0.0173,0.0,-2,0,0,100
6.521,1,0,0.0,0.01,0.13,-0.122,0.9769,0.017,0.0,-2,0,0,100
6.552,1,0,0.0,0.01,-0.041,0.144,0.9769,0.0179,0.0,2,0,0,100
6.582,1,0,0.0,0.0,-0.16,0.155,0.9769,0.0179,0.0,2,0,0,100
6.614,1,0,0.0,0.01,0.027,0.137,0.9769,0.0183,0.0,2,0,0,100
6.63,1,0,0.0,0.01,-0.053,0.159,0.9769,0.0189,0.0,2,0,0,100
6.661,1,0,0.0,0.01,-0.016,0.127,0.9769,0.0181,0.0,2,0,0,100
6.678,1,0,0.0,0.01,0.01,0.121,0.9769,0.0187,0.0,2,0,0,100
6.694,1,0,0.0,0.0,0.073,-0.155,0.9769,0.0192,0.0,-2,0,0,100
6.725,1,0,0.0,0.0,0.018,0.147,0.9769,0.0203,0.0,2,0,0,100
6.757,1,0,0.0,0.0,0.011,0.129,0.9769,0.0192,0.0,2,0,0,100
6.788,1,0,0.0,0.0,-0.024,-0.139,0.9769,0.0208,0.0,-2,0,0,100
6.82,1,0,0.0,0.0,0.063,-0.121,0.9769,0.0206,0.0,-2,0,0,100
6.837,1,0,0.0,0.0,-0.034,-0.151,0.9769,0.0207,0.0,-2,0,0,100
6.868,1,0,0.0,0.0,-0.001,-0.137,0.9769,0.0208,0.0,-2,0,0,100
6.899,1,0,0.0,0.0,0.049,-0.124,0.9769,0.0185,0.0,-2,0,0,100
6.93,1,0,0.0,0.0,0.005,0.134,0.9769,0.0194,0.0,2,0,0,100
6.961,1,0,0.0,0.0,-0.014,0.128,0.9769,0.0207,0.0,2,0,0,100
6.977,1,0,0.0,0.0,-0.017,-0.139,0.9769,0.0193,0.0,-2,0,0,100
7.008,1,0,0.0,0.0,-0.017,0.143,0.9769,0.0211,0.0,2,0,0,100
7.024,1,0,0.0,0.0,0.01,-0.127,0.9769,0.0204,0.0,-2,0,0,100
7.055,1,0,0.0,0.01,-0.067,0.161,0.9769,0.0205,0.0,2,0,0,100
7.087,1,0,0.0,0.0,0.123,0.144,0.9769,0.0209,0.0,2,0,0,100
7.117,1,0,0.0,0.0,0.031,0.108,0.9769,0.0206,0.0,2,0,0,100
7.134,1,0,0.0,0.0,0.018,0.148,0.9769,0.0209,0.0,2,0,0,100
7.164,1,0,0.0,0.0,0.003,0.128,0.9769,0.0202,0.0,2,0,0,100
7.195,1,0,0.0,0.0,0.047,0.138,0.9769,0.0205,0.0,2,0,0,100
7.211,1,0,0.0,0.01,0.006,0.171,0.9769,0.0206,0.0,2,0,0,100
7.242,1,0,0.0,0.0,-0.012,0.142,0.9769,0.0205,0.0,2,0,0,100
7.258,1,0,0.0,0.0,0.009,-0.158,0.9769,0.0205,0.0,-2,0,0,100
7.275,1,0,0.0,0.01,0.002,-0.15,0.9769,0.0203,0.0,-2,0,0,100
